isin,symbol,session_date,open,high,low,close,volume,traded_value
INE002A01018,RELIANCE,2022-05-25,2635.0,2656.7,2601.5,2612.0,5867760.0,15407680360.4
INE002A01018,RELIANCE,2022-05-26,2624.4,2634.9,2548.0,2587.1,8252551.0,21351851439.7
INE002A01018,RELIANCE,2022-05-27,2593.05,2605.15,2540.1,2575.1,7624888.0,19627294687.95
INE002A01018,RELIANCE,2022-05-30,2615.0,2674.0,2594.2,2664.8,6393341.0,16882083950.05
INE002A01018,RELIANCE,2022-05-31,2641.4,2678.8,2615.7,2632.65,32591420.0,85993898870.0
INE002A01018,RELIANCE,2022-06-01,2634.3,2655.2,2616.2,2633.5,4512079.0,11903542973.55
INE002A01018,RELIANCE,2022-06-02,2634.0,2732.45,2634.0,2724.3,10211408.0,27584103887.4
INE002A01018,RELIANCE,2022-06-03,2744.0,2817.35,2742.0,2779.5,11048210.0,30861449556.9
INE002A01018,RELIANCE,2022-06-06,2780.0,2814.0,2751.8,2767.55,5119488.0,14210599849.75
INE002A01018,RELIANCE,2022-06-07,2769.9,2791.1,2752.05,2772.75,5703333.0,15815485543.85
INE002A01018,RELIANCE,2022-06-08,2772.75,2781.0,2716.3,2724.05,5759172.0,15786294151.3
INE002A01018,RELIANCE,2022-06-09,2710.0,2803.0,2710.0,2798.75,7973935.0,22038890334.1
INE002A01018,RELIANCE,2022-06-10,2771.9,2789.9,2701.5,2714.25,8349943.0,22878943836.3
INE002A01018,RELIANCE,2022-06-13,2650.0,2672.8,2616.3,2662.9,8131998.0,21519668179.5
INE002A01018,RELIANCE,2022-06-14,2650.05,2671.85,2613.45,2628.1,6790653.0,17910140469.65
INE002A01018,RELIANCE,2022-06-15,2617.55,2637.3,2584.4,2596.3,5166738.0,13502708125.15
INE002A01018,RELIANCE,2022-06-16,2623.0,2659.05,2554.0,2560.0,7896943.0,20560173723.7
INE002A01018,RELIANCE,2022-06-17,2560.0,2624.85,2556.1,2590.0,11286988.0,29260639914.3
INE002A01018,RELIANCE,2022-06-20,2605.0,2617.1,2521.1,2543.05,5568825.0,14216989371.65
INE002A01018,RELIANCE,2022-06-21,2560.0,2593.4,2528.3,2584.1,5408801.0,13859827576.2
INE002A01018,RELIANCE,2022-06-22,2558.1,2558.3,2501.0,2505.6,4899839.0,12368075581.25
INE002A01018,RELIANCE,2022-06-23,2515.05,2525.0,2445.0,2464.95,8974475.0,22306490549.05
INE002A01018,RELIANCE,2022-06-24,2480.0,2511.0,2468.0,2500.05,6571866.0,16376908912.2
INE002A01018,RELIANCE,2022-06-27,2544.95,2544.95,2481.55,2492.65,7141493.0,17938104628.25
INE002A01018,RELIANCE,2022-06-28,2482.1,2533.95,2482.1,2527.7,6263867.0,15758339977.0
INE002A01018,RELIANCE,2022-06-29,2507.2,2597.0,2501.0,2580.15,8863172.0,22682290935.35
INE002A01018,RELIANCE,2022-06-30,2580.0,2615.9,2566.0,2595.65,10666627.0,27691790169.9
INE002A01018,RELIANCE,2022-07-01,2574.9,2592.0,2365.0,2408.7,37841671.0,92119994931.8
INE002A01018,RELIANCE,2022-07-04,2378.95,2442.0,2366.1,2413.7,19317335.0,46594929825.6
INE002A01018,RELIANCE,2022-07-05,2423.0,2464.9,2417.1,2433.25,8144239.0,19875158179.6
INE002A01018,RELIANCE,2022-07-06,2420.1,2441.95,2388.0,2411.85,11050026.0,26637248724.35
INE002A01018,RELIANCE,2022-07-07,2425.9,2433.25,2375.0,2388.1,10753423.0,25723462115.35
INE002A01018,RELIANCE,2022-07-08,2418.0,2418.0,2382.55,2391.4,8773162.0,21002872434.25
INE002A01018,RELIANCE,2022-07-11,2376.5,2428.8,2370.0,2423.9,6390604.0,15343320840.2
INE002A01018,RELIANCE,2022-07-12,2404.0,2439.7,2404.0,2420.45,4974502.0,12061561234.2
INE002A01018,RELIANCE,2022-07-13,2427.3,2434.0,2373.0,2377.55,6564435.0,15744718033.45
INE002A01018,RELIANCE,2022-07-14,2388.0,2433.95,2376.95,2397.15,7831798.0,18781243733.65
INE002A01018,RELIANCE,2022-07-15,2415.0,2415.0,2383.1,2401.8,4431880.0,10623995556.2
INE002A01018,RELIANCE,2022-07-18,2421.0,2425.0,2392.3,2422.25,6996757.0,16849806027.65
INE002A01018,RELIANCE,2022-07-19,2400.3,2447.0,2400.3,2437.1,7587006.0,18432314366.2
INE002A01018,RELIANCE,2022-07-20,2540.0,2542.5,2486.25,2503.0,11041036.0,27676129582.85
INE002A01018,RELIANCE,2022-07-21,2494.0,2500.0,2467.3,2486.3,7625468.0,18933428050.1
INE002A01018,RELIANCE,2022-07-22,2500.0,2516.3,2495.0,2503.1,5062651.0,12679994866.3
INE002A01018,RELIANCE,2022-07-25,2467.45,2467.45,2403.0,2420.4,10665470.0,25838870736.65
INE002A01018,RELIANCE,2022-07-26,2421.1,2443.9,2411.35,2421.5,5216466.0,12680927214.1
INE002A01018,RELIANCE,2022-07-27,2419.95,2427.0,2402.0,2419.2,3994321.0,9650459374.8
INE002A01018,RELIANCE,2022-07-28,2436.0,2467.95,2421.0,2457.1,5766936.0,14110146776.35
INE002A01018,RELIANCE,2022-07-29,2474.7,2517.1,2464.0,2509.45,6982808.0,17417222455.45
INE002A01018,RELIANCE,2022-08-01,2519.15,2587.75,2507.6,2574.85,7245568.0,18552037709.1
INE002A01018,RELIANCE,2022-08-02,2572.5,2607.8,2561.55,2584.65,6423115.0,16594994133.95
INE002A01018,RELIANCE,2022-08-03,2600.0,2610.0,2567.45,2606.35,6576824.0,17040829415.65
INE002A01018,RELIANCE,2022-08-04,2610.0,2617.75,2535.0,2571.9,6676577.0,17153907762.65
INE002A01018,RELIANCE,2022-08-05,2576.0,2578.8,2526.95,2534.0,6434433.0,16365407365.9
INE002A01018,RELIANCE,2022-08-08,2531.0,2583.55,2531.0,2567.15,4691228.0,12044417897.15
INE002A01018,RELIANCE,2022-08-10,2576.9,2589.9,2557.05,2582.5,4949442.0,12741005921.3
INE002A01018,RELIANCE,2022-08-11,2603.1,2609.9,2580.2,2591.1,3783480.0,9810722225.4
INE002A01018,RELIANCE,2022-08-12,2590.3,2641.35,2582.2,2633.0,5838244.0,15332563329.35
INE002A01018,RELIANCE,2022-08-16,2646.2,2657.3,2627.3,2651.3,3049304.0,8060790553.15
INE002A01018,RELIANCE,2022-08-17,2665.0,2676.9,2655.55,2665.15,3044037.0,8115922559.35
INE002A01018,RELIANCE,2022-08-18,2660.0,2669.0,2640.2,2661.3,3419730.0,9077457998.05
INE002A01018,RELIANCE,2022-08-19,2650.0,2661.7,2604.95,2613.85,4366123.0,11489747684.6
INE002A01018,RELIANCE,2022-08-22,2617.0,2631.3,2586.0,2606.6,4371179.0,11393340723.5
